,genres,artist_name,name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,cluster
172856,Comedy,Denis Leary,Smoke,20,0.788,0.582,5.48555,0.743,0.0,0.94,-14.733,0.899,103.943,0.591,4
133584,Reggae,Pepper,Feels Good,29,0.376,0.659,5.060883333333333,0.252,0.0469,0.11,-14.764,0.259,79.534,0.211,2
66342,Folk,Amigo the Devil,The Dreamer,37,0.86,0.349,3.8308833333333334,0.389,0.00481,0.116,-11.383,0.0341,197.215,0.129,2
180616,Jazz,Cafe Jazz Deluxe,Bashful Falling Star,41,0.975,0.676,1.4210333333333334,0.087,0.776,0.102,-23.023,0.0719,75.995,0.569,3
49658,Blues,Gregg Allman,These Days - Live,29,0.549,0.539,4.038883333333334,0.29,0.000324,0.664,-12.638,0.028,73.373,0.3,7
156945,Ska,Transplants,What I Can't Describe,39,0.16,0.838,4.0348,0.796,0.0,0.109,-5.835,0.0406,95.169,0.795,5
157040,Ska,Goldfinger,My Everything,45,0.000105,0.431,2.6473333333333335,0.899,0.0,0.0577,-5.531,0.112,179.97,0.57,6
90046,Hip-Hop,Brown Boy,Superman,49,0.337,0.667,3.85245,0.468,0.0,0.239,-8.839,0.108,77.992,0.423,1
109977,Pop,Camila Cabello,I Have Questions,71,0.405,0.393,3.6980166666666667,0.555,0.0,0.105,-6.096,0.276,167.999,0.22,6
112698,Pop,Marshmello,Know Me,66,0.00635,0.664,3.4366166666666667,0.844,0.00285,0.542,-5.012,0.0405,142.056,0.557,7
103213,Children’s Music,Shovels & Rope,The Wire,51,0.00622,0.557,2.948166666666667,0.554,0.0,0.103,-6.506,0.0506,135.084,0.628,1
210400,World,Matt Redman,Holy - Live,39,0.165,0.445,7.227783333333333,0.648,0.0,0.711,-6.153,0.0313,138.083,0.324,7
127011,Classical,Niccolò Paganini,"Paganini: 24 Caprices, Op. 1: No. 5 in A Minor",38,0.97,0.36,3.1657,0.198,0.926,0.0632,-23.452,0.0442,150.066,0.628,3
81036,Opera,Richard Wagner,"Das Rheingold, WWV 86A, Scene 2: Du da, folge uns fort!",13,0.941,0.379,1.73155,0.179,2.93e-05,0.406,-23.394,0.0972,103.844,0.321,9
129612,Classical,Eleni Karaindrou,David: Overture - Live,31,0.966,0.205,4.22755,0.0866,0.732,0.213,-23.12,0.0399,137.417,0.127,3
178922,Jazz,Dean Martin,White Christmas,38,0.939,0.247,2.498666666666667,0.109,0.0575,0.135,-20.047,0.0339,99.735,0.276,9
14692,Dance,Passion Pit,Take a Walk,68,0.0338,0.566,4.408216666666666,0.755,0.0,0.315,-5.526,0.0368,101.006,0.445,1
8657,Country,Eric Church,"Like A Wrecking Ball - Live At Pinnacle Bank Arena, Lincoln, NE / January 13, 2017",35,0.196,0.605,3.6771833333333332,0.653,0.00213,0.711,-5.978,0.0305,138.27,0.289,7
27508,Alternative,Slipknot,Be Prepared For Hell,43,0.377,0.263,1.96555,0.322,0.0742,0.368,-17.431,0.049,139.433,0.375,2
93399,Indie,Bazanji,2019,68,0.15,0.597,1.87075,0.881,0.0,0.16,-5.23,0.119,147.042,0.295,1
70066,Hip-Hop,Mick Jenkins,Vibe,59,0.311,0.544,4.580433333333334,0.626,0.0,0.106,-9.544,0.334,79.101,0.399,1
205504,Soundtrack,Michael Giacchino,High Tech Heist,29,0.418,0.454,1.4431166666666666,0.469,0.882,0.442,-14.895,0.0795,144.861,0.105,0
48805,Blues,Chris Robinson Brotherhood,Rosalee,32,0.13,0.31,10.258,0.418,0.013,0.563,-12.949,0.0345,79.144,0.52,7
161565,Reggaeton,Yomo,A Solas,34,0.114,0.632,3.81155,0.574,0.0,0.0931,-6.477,0.175,169.915,0.596,6
53791,Blues,Roy C,Saved By the Bell (Infidelity Georgia),21,0.515,0.473,8.062716666666667,0.291,0.0,0.102,-17.221,0.113,145.704,0.617,2
151403,Pop,Vance Joy,Call If You Need Me,61,0.879,0.748,2.728666666666667,0.573,0.00581,0.0989,-6.057,0.0332,110.177,0.463,2
32955,Anime,BUMP OF CHICKEN,友達の唄,38,0.00306,0.554,6.164883333333333,0.482,0.00204,0.107,-5.751,0.0249,88.09,0.148,1
60629,R&B,Aeris Roves,Delilah,56,0.814,0.814,3.1208833333333335,0.435,1.62e-06,0.105,-8.422,0.0684,98.049,0.416,2
193176,Soul,Cool Company,Bust It Open,53,0.449,0.783,3.2415166666666666,0.459,0.0206,0.187,-10.348,0.0836,131.087,0.681,5
186029,Ska,Dead Kennedys,I am the Owl,31,0.000162,0.499,4.866133333333333,0.819,0.0196,0.0978,-6.713,0.0703,82.203,0.609,5
174891,Comedy,Joe Derosa,The Beginning,14,0.818,0.457,1.1891166666666666,0.657,0.0,0.698,-6.364,0.448,112.816,0.547,4
153097,Rock,Jónsi,Where No One Goes,54,0.0177,0.504,2.7422166666666667,0.879,0.00866,0.347,-7.442,0.0636,140.017,0.354,6
114984,Rap,6LACK,Let Her Go,69,0.586,0.758,2.9528666666666665,0.62,7.8e-05,0.187,-7.079,0.0846,156.017,0.404,1
121813,Rap,A Perfect Circle,Disillusioned,59,0.155,0.227,5.895133333333333,0.634,0.00029,0.345,-6.347,0.04,81.918,0.152,1
28155,Anime,LiSA,Rally Go Round,41,0.0114,0.43,4.57955,0.996,0.0,0.33,-2.138,0.306,189.798,0.329,6
154495,Rock,Marianas Trench,Glimmer,57,0.0129,0.554,3.6917,0.809,0.0,0.164,-6.258,0.0519,75.951,0.443,1
164044,Reggaeton,"Franco ""El Gorilla""",Nobody Like You (English) [feat. Oneill],29,0.0121,0.691,4.42645,0.834,0.00148,0.115,-4.378,0.0432,129.982,0.33,6
154994,Rock,Young the Giant,You + I,51,0.0995,0.624,4.238883333333333,0.462,0.000104,0.399,-9.402,0.0343,158.081,0.433,6
99108,Children’s Music,Orion Sun,S T R E T C H,50,0.597,0.669,3.2074,0.699,3.09e-05,0.2,-6.882,0.0582,92.006,0.368,1
33786,Anime,Takatsugu Muramatsu,The “Fly-by-Night” (2),14,0.562,0.228,3.566,0.383,0.776,0.099,-13.899,0.0327,155.154,0.184,3
32009,Anime,Rozen,March of the Giants,20,0.053,0.191,3.77755,0.365,0.308,0.131,-11.063,0.0355,113.75,0.0472,9
180716,Jazz,Deca,Big Time,31,0.0934,0.558,3.2648333333333333,0.79,0.0,0.138,-5.944,0.719,177.614,0.894,6
90176,Hip-Hop,Fetty Wap,Time (feat. Monty),51,0.146,0.778,4.6448833333333335,0.577,0.0,0.195,-5.313,0.0512,123.977,0.547,1
60114,R&B,LSG,"All the Times (feat. Faith Evans, Coko & Missy Elliott)",53,0.0687,0.732,4.861783333333333,0.42,1.28e-06,0.289,-6.867,0.0514,137.45,0.473,1
208785,World,Cocteau Twins,Heaven Or Las Vegas,54,8.84e-05,0.215,4.973333333333334,0.801,0.00725,0.0808,-5.46,0.0379,180.09,0.401,6
212392,Country,Eli Young Band,Love Ain't,70,0.00566,0.6,3.1019833333333335,0.851,9.78e-06,0.0891,-4.645,0.0388,98.007,0.727,1
88281,Hip-Hop,Young Thug,Kanye West (feat. Wyclef Jean),55,0.046,0.851,5.712,0.614,0.0,0.0716,-6.668,0.1,107.971,0.429,1
105417,Opera,Tomaso Albinoni,"12 Trio Sonatas, Op. 1, Sonata VII in G Major, Talm I, 7: III. Grave",9,0.791,0.226,1.7411166666666666,0.0927,0.00258,0.106,-19.016,0.0368,36.35,0.142,9
173808,Comedy,Tim Wilson,Peterbilt Prison,16,0.541,0.737,3.0742166666666666,0.545,2.8e-06,0.122,-8.697,0.0395,78.085,0.811,5
189020,Ska,Stacked Like Pancakes,Laughing At Me,17,0.18,0.684,4.2114,0.581,0.0,0.117,-7.734,0.479,179.082,0.457,6
160908,Reggaeton,Darkiel,Dejame Demostrarte,40,0.0292,0.634,4.2336,0.698,0.0,0.14,-8.129,0.132,172.0,0.801,6
158252,Reggaeton,Super Yei,Me Llama Todavia 2 (Remix),58,0.0677,0.786,7.451116666666667,0.795,0.0,0.373,-3.673,0.0834,163.972,0.926,5
62635,Folk,Annie Lennox,A Thousand Beautiful Things,55,0.286,0.463,3.120216666666667,0.359,0.0,0.171,-10.474,0.0304,79.64,0.0769,2
24528,Electronic,Zomboy,Biterz,41,0.005,0.621,4.611666666666666,0.949,0.717,0.666,-2.189,0.0837,74.984,0.0398,7
78845,Children’s Music,The Neighbourhood,Compass,63,0.238,0.7,2.7993333333333332,0.82,0.318,0.658,-5.499,0.0329,109.998,0.667,7
10305,Alternative,Deltron 3030,3030,47,0.502,0.495,7.491333333333333,0.771,7.29e-05,0.143,-9.752,0.126,81.615,0.805,5
230047,Soul,Jutes,Cocaine Cinderella,44,0.114,0.62,3.428916666666667,0.6,0.000531,0.068,-8.421,0.0515,140.012,0.442,1
226388,Rock,Pixies,Gigantic,57,0.00224,0.385,3.9617833333333334,0.707,0.377,0.0755,-11.839,0.0412,115.144,0.774,5
37150,Electronic,Bent,Exercise 4,36,0.0426,0.642,5.735116666666666,0.752,0.788,0.0728,-5.569,0.0303,120.101,0.559,0
53625,Blues,Joe Bonamassa,You Upset Me Baby,27,0.0313,0.57,3.5837833333333333,0.759,0.00269,0.213,-6.974,0.0783,124.845,0.827,5
